"id","name","full_name","owner_userfk","description","size","created_at","updated_at"
"55957418","remix","ethereum/remix","6250754","This has been moved to https://github.com/ethereum/remix-project","17684","2016-04-11 09:05:03","2023-08-14 07:28:44"
"56251096","web3.py","ethereum/web3.py","6250754","A python interface for interacting with the Ethereum blockchain and ecosystem.","26655","2016-04-14 15:59:35","2023-08-30 15:02:10"
"56328380","leveldb","ethereum/leveldb","6250754","Bitcoin's LevelDB branch","18034","2016-04-15 14:58:55","2023-04-18 06:37:10"
"56711315","jenkins-docker","ethereum/jenkins-docker","6250754","Docker official jenkins repo","125","2016-04-20 18:35:42","2022-10-27 22:01:11"
"58553777","cpp-dependencies-win64","ethereum/cpp-dependencies-win64","6250754","Prebuilt Windows 64-bit dependencies for C++.","0","2016-05-11 14:48:48","2022-03-20 23:03:41"
"59019501","cryptopp","ethereum/cryptopp","6250754","","1094","2016-05-17 12:15:40","2022-03-20 23:03:41"
"59065830","remix-ide","ethereum/remix-ide","6250754","Documentation for Remix IDE","74525","2016-05-17 23:17:34","2023-08-24 21:19:56"
"60619500","test-tools","ethereum/test-tools","6250754","Benchmark and test tools for Ethereum","25","2016-06-07 14:22:14","2022-03-20 23:03:53"
"62160941","py-geth","ethereum/py-geth","6250754","Python wrapping for running Go-Ethereum as a subprocess","442","2016-06-28 17:26:30","2023-07-03 09:14:22"
"62554553","hive","ethereum/hive","6250754","Ethereum end-to-end test harness","40940","2016-07-04 10:41:07","2023-08-27 07:44:31"
"62651984","stake-voice","ethereum/stake-voice","6250754","Give Ethereum Stakers a voice","428","2016-07-05 16:20:41","2023-08-12 21:09:45"
"63730598","py-solc","ethereum/py-solc","6250754","Python wrapper around the solc Solidity compiler.","160","2016-07-19 21:55:56","2023-06-17 16:56:32"
"65196733","interfaces","ethereum/interfaces","6250754","Interface Specifications inside Ethereum","0","2016-08-08 10:52:45","2023-02-21 03:01:09"
"65261311","meteor-ethereum-networkinfo","ethereum/meteor-ethereum-networkinfo","6250754","Meteor package to extract and expose Ethereum network information","8","2016-08-09 03:55:08","2022-03-20 23:04:19"
"66214407","evmc","ethereum/evmc","6250754","EVMC – Ethereum Client-VM Connector API","2806","2016-08-21 18:35:02","2023-08-20 06:54:24"
"67120760","swarm-dapps","ethereum/swarm-dapps","6250754","Swarm Đapp Examples","7103","2016-09-01 10:11:30","2023-08-20 21:50:27"
"68220443","oyente","ethereum/oyente","6250754","The project has been moved to this new repo https://github.com/melonproject/oyente","62074","2016-09-14 15:54:20","2023-07-14 12:24:14"
"68502118","ethereum-client-binaries","ethereum/ethereum-client-binaries","6250754","These were Ethereum client binaries in 2018","102","2016-09-18 06:44:52","2023-06-13 15:46:33"
"69717712","pm","ethereum/pm","6250754","Project Management: Meeting notes and agenda items","5806","2016-10-01 03:40:12","2023-08-29 17:40:41"
"73497633","solidity-examples","ethereum/solidity-examples","6250754","Loose collection of Solidity example code","1143","2016-11-11 17:29:00","2023-08-29 11:19:59"
"74160876","statesweep","ethereum/statesweep","6250754","","5309","2016-11-18 19:41:19","2022-08-01 17:14:28"
"74688541","ens-namehash-py","ethereum/ens-namehash-py","6250754","A python implementation of the namehash algorithm from EIP137 ","5","2016-11-24 16:15:08","2022-09-15 16:38:43"
"75014512","ens-registrar-dapp","ethereum/ens-registrar-dapp","6250754","Registrar DApp for the Ethereum Name Service","21543","2016-11-28 21:09:57","2023-03-08 23:30:14"
"77478378","py-evm","ethereum/py-evm","6250754","A Python implementation of the Ethereum Virtual Machine","16236","2016-12-27 19:36:00","2023-08-30 17:41:52"
"79326642","remix-live","ethereum/remix-live","6250754","Live deployment of the remix IDE","135304","2017-01-18 09:55:44","2023-08-25 22:38:13"
"80385354","scavenger_hunt","ethereum/scavenger_hunt","6250754","Scavenger Hunts!","4","2017-01-30 01:21:33","2022-12-24 23:11:01"
"81221757","eth-utils","ethereum/eth-utils","6250754","Utility functions for working with ethereum related codebases.","728","2017-02-07 15:15:18","2023-08-29 06:41:25"
"82832327","cbc-casper","ethereum/cbc-casper","6250754","","740","2017-02-22 17:20:11","2023-08-20 14:15:51"
"83767665","simplecasper","ethereum/simplecasper","6250754","Casper PoC4 implementation","21","2017-03-03 06:55:30","2021-12-21 09:31:04"
"84224101","libsnark","ethereum/libsnark","6250754","C++ library for zkSNARKs","1233","2017-03-07 16:54:24","2022-03-20 23:05:49"
"84573977","ethendance","ethereum/ethendance","6250754","","1","2017-03-10 15:31:49","2023-01-28 05:33:13"
"85063629","solidity-test-bytecode","ethereum/solidity-test-bytecode","6250754","Test repository for cross-platform comparison of the Solidity compiler","37747","2017-03-15 11:18:00","2023-01-28 12:19:46"
"85850137","ropsten","ethereum/ropsten","6250754","Ropsten public testnet PoW chain","13665","2017-03-22 16:17:48","2023-08-18 14:04:25"
"86858254","py-trie","ethereum/py-trie","6250754","Python library which implements the Ethereum Trie structure.","621","2017-03-31 20:34:19","2023-07-30 08:06:48"
"87337451","eth-bloom","ethereum/eth-bloom","6250754","An implementation of the Ethereum bloom filter.","89","2017-04-05 17:26:40","2023-07-17 18:20:52"
"88435839","casper","ethereum/casper","6250754","Casper contract, and related software and tests","534","2017-04-16 18:58:44","2023-07-14 12:23:45"
"92758140","remixd","ethereum/remixd","6250754","remix server","571","2017-05-29 16:46:40","2023-05-05 16:57:16"
"93610217","evmlab","ethereum/evmlab","6250754","Utilities for interacting with the Ethereum virtual machine","3450","2017-06-07 08:17:11","2023-08-22 02:35:48"
"94622634","go-casper","ethereum/go-casper","6250754","","0","2017-06-17 12:33:17","2022-03-20 23:06:35"
"94857054","py_pairing","ethereum/py_pairing","6250754","Elliptic curve operations, including pairings","17","2017-06-20 06:25:07","2023-08-24 07:43:37"
"96364578","eth-tester","ethereum/eth-tester","6250754","Tool suite for testing ethereum applications.","973","2017-07-05 22:00:02","2023-08-30 10:32:04"
"96542036","sharding","ethereum/sharding","6250754","Sharding manager contract, and related software and tests","624","2017-07-07 13:39:20","2023-08-20 03:08:02"
"96947127","moon-lang","ethereum/moon-lang","6250754","Minimal code-interchange format","511","2017-07-12 00:03:31","2023-08-06 21:33:21"
"97318641","py_ecc","ethereum/py_ecc","6250754","Python implementation of ECC pairing and bn_128 and bls12_381 curve operations","426","2017-07-15 13:47:42","2023-08-24 07:43:42"
"97947220","hunter-cache","ethereum/hunter-cache","6250754","","5383","2017-07-21 12:52:11","2021-12-24 07:30:53"
"98058983","pyeth_keys","ethereum/pyeth_keys","6250754","","8","2017-07-22 21:32:07","2021-12-26 19:11:42"
"100675485","moon-tool","ethereum/moon-tool","6250754","Command-lite tool for Moon-lang","32","2017-08-18 05:18:59","2023-06-13 16:10:48"
"100750146","moon-browser","ethereum/moon-browser","6250754","Moon-Browser was a browser for decentralized applications in 2016","174","2017-08-18 21:05:37","2023-06-13 15:56:32"
"100946026","benchmarking","ethereum/benchmarking","6250754","Benchmarking data for EVM ops and precompiles","489","2017-08-21 11:35:16","2023-07-02 10:02:24"
"103953670","snake-charmers-tactical-manual","ethereum/snake-charmers-tactical-manual","6250754","Development *stuff* for the Snake Charmers EF team","121","2017-09-18 15:00:44","2023-08-25 23:34:18"
"104133488","eth-keys","ethereum/eth-keys","6250754","A common API for Ethereum key operations.","224","2017-09-19 21:58:38","2023-08-07 11:00:43"
"104372136","eth-keyfile","ethereum/eth-keyfile","6250754","Tools for handling the encrypted keyfile format used to store private keys.","61","2017-09-21 16:27:16","2023-08-04 03:38:11"
"105900295","langlab","ethereum/langlab","6250754","","132","2017-10-05 14:30:52","2022-03-20 23:07:16"
"115122395","dopple","ethereum/dopple","6250754","Dopple: JSON-RPC Proxy Server","51","2017-12-22 14:27:43","2023-07-27 05:48:11"
"116457726","ethereum-org-website","ethereum/ethereum-org-website","6250754","Ethereum.org is a primary online resource for the Ethereum community.","519133","2018-01-06 05:54:37","2023-08-30 12:37:47"
"118074383","plasma","ethereum/plasma","6250754","","0","2018-01-19 03:54:50","2022-01-10 16:56:52"
"118626260","remix-tests","ethereum/remix-tests","6250754","","153","2018-01-23 15:06:17","2023-01-28 20:09:42"
"118818588","eth-account","ethereum/eth-account","6250754","Account abstraction library for web3.py","840","2018-01-24 20:32:30","2023-08-16 16:04:35"
"118818851","eth-rlp","ethereum/eth-rlp","6250754","STUB","126","2018-01-24 20:35:16","2023-01-19 18:27:25"
"118827328","ethereum-python-project-template","ethereum/ethereum-python-project-template","6250754","Template for new Python Ethereum repositories","142","2018-01-24 21:57:12","2023-04-24 22:31:53"
"118841911","hexbytes","ethereum/hexbytes","6250754","Python `bytes` subclass that decodes hex, with a readable console output","201","2018-01-25 00:53:22","2023-06-29 12:23:21"
"119640408","docker-pyeth-dev","ethereum/docker-pyeth-dev","6250754","Simple pyethapp development environment","72","2018-01-31 05:40:58","2022-03-20 23:08:05"
"120415035","testeth","ethereum/testeth","6250754","One consensus test generator","47273","2018-02-06 07:01:12","2023-01-28 19:31:03"
"120535885","eth-hash","ethereum/eth-hash","6250754","The Ethereum hashing function, keccak256, sometimes (erroneously) called sha256 or sha3","235","2018-02-06 23:23:29","2023-08-21 21:11:16"
"121613183","remix-live-alpha","ethereum/remix-live-alpha","6250754","Live deployment of the remix IDE (alpha)","62967","2018-02-15 09:53:15","2023-07-09 03:02:56"
"122337656","retesteth","ethereum/retesteth","6250754","testeth via RPC. Test run, generation by t8ntool protocol","3679","2018-02-21 13:07:55","2023-08-23 19:01:49"
"122501700","browser-solidity","ethereum/browser-solidity","6250754","Fomer location of remix-ide => https://github.com/ethereum/remix-ide","8948","2018-02-22 16:06:13","2023-06-06 03:03:43"
"122989673","cable","ethereum/cable","6250754","Cable: CMake Bootstrap Library","139","2018-02-26 15:31:32","2023-08-01 22:27:40"
"123197471","trinity","ethereum/trinity","6250754","The Trinity client for the Ethereum network","18698","2018-02-27 22:39:21","2023-08-18 03:40:10"
"125402846","eth-typing","ethereum/eth-typing","6250754","Python types for type hinting commonly used ethereum types","242","2018-03-15 17:24:31","2023-08-22 22:57:23"
"125856788","remix-plugin","ethereum/remix-plugin","6250754","","7612","2018-03-19 12:50:16","2023-08-25 06:15:48"
"126418675","eip_validator","ethereum/eip_validator","6250754","","44","2018-03-23 01:57:48","2022-06-14 16:32:06"
"136359820","eth-typeshed","ethereum/eth-typeshed","6250754","Typing stubs for python ethereum codebase static type checking.","0","2018-06-06 16:58:34","2022-03-20 23:09:03"
"137509648","beacon_chain","ethereum/beacon_chain","6250754","","407","2018-06-15 16:26:28","2023-07-24 12:12:21"
"138255357","eth-wiki","ethereum/eth-wiki","6250754","Ethereum Wiki","2479","2018-06-22 04:42:09","2023-07-28 17:40:29"
"138288634","grid-ui","ethereum/grid-ui","6250754","**DEPRECATED** UI for Ethereum Grid","6228","2018-06-22 10:16:49","2023-01-28 11:40:20"
"139188846","play","ethereum/play","6250754","playproject","30","2018-06-29 19:39:16","2022-01-10 01:11:11"
"140879628","pytest-asyncio-network-simulator","ethereum/pytest-asyncio-network-simulator","6250754","Pluggin for Pytest for testing asyncio applications using a mocked networking layer","54","2018-07-13 18:17:37","2023-04-17 08:06:26"
"140884327","asyncio-cancel-token","ethereum/asyncio-cancel-token","6250754","A cancelation pattern for asyncio applications","506","2018-07-13 19:11:57","2023-08-18 14:32:22"
"143768297","eth2.0-pm","ethereum/eth2.0-pm","6250754","ETH2.0 project management","3013","2018-08-06 18:37:24","2023-07-09 13:22:52"
"144289295","fuzzertests","ethereum/fuzzertests","6250754","Ethereum statetests generated through libfuzzer","0","2018-08-10 13:25:42","2022-03-20 23:09:33"
"145263954","clef-ui","ethereum/clef-ui","6250754"," UI Implementation for Clef, the geth-based signer","15546","2018-08-19 01:22:08","2023-06-13 16:14:40"
"146730940","lahja","ethereum/lahja","6250754","Lahja is a generic multi process event bus implementation written in Python 3.6+ to enable lightweight inter-process communication, based on non-blocking asyncio","475","2018-08-30 10:02:06","2023-04-16 12:50:22"
"147572521","pytest-ethereum","ethereum/pytest-ethereum","6250754","","140","2018-09-05 19:57:19","2022-02-06 14:33:03"
"147740703","twig","ethereum/twig","6250754","","99","2018-09-06 22:30:20","2021-12-26 19:11:58"
"149554797","consensus-specs","ethereum/consensus-specs","6250754","Ethereum Proof-of-Stake Consensus Specifications","18693","2018-09-20 05:12:54","2023-08-30 19:30:21"
"150356790","eth2.0-tests","ethereum/eth2.0-tests","6250754","[DEPRECATED] Common tests for all Eth2.0 implementations","916","2018-09-26 02:24:19","2023-02-15 09:34:08"
"151431989","whisper","ethereum/whisper","6250754","","222","2018-10-03 15:07:48","2023-04-27 08:59:10"
"151755916","evmdasm","ethereum/evmdasm","6250754","A lightweight ethereum evm bytecode instruction registry, disassembler and evmcode manipulation library","57","2018-10-05 17:30:36","2023-08-08 07:38:47"
"152074090","remix-workshops","ethereum/remix-workshops","6250754","","67541","2018-10-08 12:13:29","2023-08-02 12:37:01"
"152124498","py-snappy","ethereum/py-snappy","6250754","A pure python implementation of the Snappy compression algorithm.","1082","2018-10-08 18:08:43","2022-12-03 08:15:07"
"152467973","evmcodegen","ethereum/evmcodegen","6250754","A synthetic evm bytecode generation library and cmdline utility to fuzz the ethereum stack machine","6629","2018-10-10 18:06:28","2023-06-04 04:23:11"
"152623729","testng","ethereum/testng","6250754","","0","2018-10-11 16:37:24","2022-03-20 23:09:54"
"152745337","grid","ethereum/grid","6250754","[DEPRECATED] Download, configure, and run Ethereum nodes and tools","92808","2018-10-12 12:11:46","2023-08-05 10:33:29"
"153663395","py-ssz","ethereum/py-ssz","6250754","Python implementation of the Simple Serialize encoding and decoding","733","2018-10-18 17:41:29","2023-04-22 22:35:26"
"157903851","ethereum-react-components","ethereum/ethereum-react-components","6250754","Ethereum Components Library in React","11294","2018-11-16 18:04:49","2023-01-28 14:07:05"
"158259123","snake-charmers-blog","ethereum/snake-charmers-blog","6250754","","1100","2018-11-19 16:44:52","2021-12-26 19:12:02"
"159798895","grants-advisors","ethereum/grants-advisors","6250754","Resources for advisors to the Ethereum Foundation Grants program","1","2018-11-30 09:20:26","2021-12-26 19:12:02"
"160548111","evmone","ethereum/evmone","6250754","Fast Ethereum Virtual Machine implementation","4123","2018-12-05 16:37:26","2023-08-30 18:21:12"
"161053881","ethsim","ethereum/ethsim","6250754","Simulation/emulation utilities for Ethereum.","4","2018-12-09 15:34:44","2023-01-28 05:33:20"
"161232280","py-wasm","ethereum/py-wasm","6250754","A python implementation of the web assembly interpreter","1568","2018-12-10 20:25:19","2023-07-21 10:24:11"
"162623892","trinity-web","ethereum/trinity-web","6250754","The trinity.ethereum.org web site","3096","2018-12-20 19:37:58","2022-02-15 12:32:43"
"163640630","eth-wiki-test","ethereum/eth-wiki-test","6250754","wiki.js Wiki Test by Hudson","14","2018-12-31 05:04:59","2021-12-18 04:06:54"
"166059416","deposit_contract","ethereum/deposit_contract","6250754","","195","2019-01-16 15:04:08","2022-12-01 09:59:41"
"168132854","eth2.0-test-generators","ethereum/eth2.0-test-generators","6250754","","62","2019-01-29 10:04:47","2022-12-22 19:05:34"
"169161306","mantis-apache2","ethereum/mantis-apache2","6250754","A Scala based client for Ethereum and Ethereum Classic.","17219","2019-02-04 22:41:59","2023-01-27 22:43:04"
"169485513","UniversalLoginSDK","ethereum/UniversalLoginSDK","6250754","Archive of deprecated Universal Login SDK","2019","2019-02-06 22:17:36","2023-06-13 16:13:51"
"172485311","solidity-fuzzing-corpus","ethereum/solidity-fuzzing-corpus","6250754","","75942","2019-02-25 10:31:19","2023-06-09 20:42:35"
"173011022","bimini","ethereum/bimini","6250754","","21128","2019-02-28 00:17:03","2023-01-27 19:06:14"
"173219130","eth-netstats","ethereum/eth-netstats","6250754","Ethereum Network Stats ""Classic""","7560","2019-03-01 02:11:52","2023-07-20 19:57:20"
"173219150","eth-net-intelligence-api","ethereum/eth-net-intelligence-api","6250754","Ethereum Network Intelligence API ""Classic""","283","2019-03-01 02:12:04","2022-06-03 06:06:28"
"183183290","sourcify","ethereum/sourcify","6250754","Decentralized Solidity contract source code verification service","23020","2019-04-24 08:23:22","2023-08-25 22:39:56"
"183460147","consensus-spec-tests","ethereum/consensus-spec-tests","6250754","Common tests for the Ethereum proof-of-stake consensus layer","694980","2019-04-25 15:19:25","2023-08-06 14:23:40"
"186217997","eth2-client-tests","ethereum/eth2-client-tests","6250754","","76","2019-05-12 06:02:32","2023-01-28 07:03:59"
"187529841","ethereum-foundation-website","ethereum/ethereum-foundation-website","6250754","Ethereum.foundation is the primary website for the Ethereum Foundation.","54077","2019-05-19 21:27:25","2023-06-17 15:28:01"
